"area","country","phase","phase_label","severity_category","validity_period","population_affected","pct_total_population"
"Awdal Urban (Baki, Lughaye and Zeylac)","SOM","1","Phase 1 - Minimal","Minimal","Current",7934,0.4000
"Awdal Urban (Baki, Lughaye and Zeylac)","SOM","2","Phase 2 - Stressed","Stressed","Current",10910,0.5500
"Awdal Urban (Baki, Lughaye and Zeylac)","SOM","3","Phase 3 - Crisis","Crisis","Current",992,0.0500
"Awdal Urban (Baki, Lughaye and Zeylac)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",992,0.0500
"Awdal Urban (Baki, Lughaye and Zeylac)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Awdal Urban (Baki, Lughaye and Zeylac)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Awdal Urban (Baki, Lughaye and Zeylac)","SOM","ALL","All Phases - Total","Total","Current",19836,1.0000
"Awdal Urban (Borama)","SOM","1","Phase 1 - Minimal","Minimal","Current",57280,0.5500
"Awdal Urban (Borama)","SOM","2","Phase 2 - Stressed","Stressed","Current",41658,0.4000
"Awdal Urban (Borama)","SOM","3","Phase 3 - Crisis","Crisis","Current",5207,0.0500
"Awdal Urban (Borama)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",5207,0.0500
"Awdal Urban (Borama)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Awdal Urban (Borama)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Awdal Urban (Borama)","SOM","ALL","All Phases - Total","Total","Current",104145,1.0000
"Awdal Urban IDPs (Baki and Lughaye)","SOM","1","Phase 1 - Minimal","Minimal","Current",2101,0.1000
"Awdal Urban IDPs (Baki and Lughaye)","SOM","2","Phase 2 - Stressed","Stressed","Current",11556,0.5500
"Awdal Urban IDPs (Baki and Lughaye)","SOM","3","Phase 3 - Crisis","Crisis","Current",5253,0.2500
"Awdal Urban IDPs (Baki and Lughaye)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",7353,0.3500
"Awdal Urban IDPs (Baki and Lughaye)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",2101,0.1000
"Awdal Urban IDPs (Baki and Lughaye)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Awdal Urban IDPs (Baki and Lughaye)","SOM","ALL","All Phases - Total","Total","Current",21010,1.0000
"Awdal Urban IDPs (Borama)","SOM","1","Phase 1 - Minimal","Minimal","Current",12090,0.3500
"Awdal Urban IDPs (Borama)","SOM","2","Phase 2 - Stressed","Stressed","Current",13817,0.4000
"Awdal Urban IDPs (Borama)","SOM","3","Phase 3 - Crisis","Crisis","Current",5181,0.1500
"Awdal Urban IDPs (Borama)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",8636,0.2500
"Awdal Urban IDPs (Borama)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",3454,0.1000
"Awdal Urban IDPs (Borama)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Awdal Urban IDPs (Borama)","SOM","ALL","All Phases - Total","Total","Current",34542,1.0000
"Bakool Southern Agro-Pastoral","SOM","1","Phase 1 - Minimal","Minimal","Current",81080,0.4000
"Bakool Southern Agro-Pastoral","SOM","2","Phase 2 - Stressed","Stressed","Current",91215,0.4500
"Bakool Southern Agro-Pastoral","SOM","3","Phase 3 - Crisis","Crisis","Current",30405,0.1500
"Bakool Southern Agro-Pastoral","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",30405,0.1500
"Bakool Southern Agro-Pastoral","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Bakool Southern Agro-Pastoral","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bakool Southern Agro-Pastoral","SOM","ALL","All Phases - Total","Total","Current",202699,1.0000
"Bakool Southern Inland Pastoral","SOM","1","Phase 1 - Minimal","Minimal","Current",50911,0.5500
"Bakool Southern Inland Pastoral","SOM","2","Phase 2 - Stressed","Stressed","Current",37026,0.4000
"Bakool Southern Inland Pastoral","SOM","3","Phase 3 - Crisis","Crisis","Current",4628,0.0500
"Bakool Southern Inland Pastoral","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",4628,0.0500
"Bakool Southern Inland Pastoral","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Bakool Southern Inland Pastoral","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bakool Southern Inland Pastoral","SOM","ALL","All Phases - Total","Total","Current",92565,1.0000
"Bakool Urban (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","1","Phase 1 - Minimal","Minimal","Current",19180,0.3500
"Bakool Urban (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","2","Phase 2 - Stressed","Stressed","Current",30140,0.5500
"Bakool Urban (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","3","Phase 3 - Crisis","Crisis","Current",5480,0.1000
"Bakool Urban (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","3+","Phase 3+ - Crisis or Worse","Crisis or Worse","Current",5480,0.1000
"Bakool Urban (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","4","Phase 4 - Emergency","Emergency or Famine","Current",0,0.0000
"Bakool Urban (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","5","Phase 5 - Famine","Emergency or Famine","Current",0,0.0000
"Bakool Urban (Ceel Barde, Rab Dhuure, Tayeeglow and Wajid)","SOM","ALL","All Phases - Total","Total","Current",54800,1.0000
"Bakool Urban (Xudur)","SOM","1","Phase 1 - Minimal","Minimal","Current",6738,0.5000
"Bakool Urban (Xudur)","SOM","2","Phase 2 - Stressed","Stressed","Current",6064,0.4500
